treshold,class,mAP,precision,recall,TP,FP
0.1,car,0.10974105447530746,0.14609438180923462,0.8983606696128845,548.0,3203.0
0.1,person,0.8541498780250549,0.8032692670822144,0.9026748538017273,2801.0,686.0
0.1,rider,0.7214701771736145,0.7873303294181824,0.7489239573478699,522.0,141.0
0.1,average,0.5617870688438416,0.578898012638092,0.8499864935874939
0.15000000000000002,car,0.10895592719316483,0.14609438180923462,0.8983606696128845,548.0,3203.0
0.15000000000000002,person,0.8538827300071716,0.8029825091362,0.9023525714874268,2800.0,687.0
0.15000000000000002,rider,0.7214701771736145,0.7873303294181824,0.7489239573478699,522.0,141.0
0.15000000000000002,average,0.5614362359046936,0.5788024067878723,0.8498790860176086
0.20000000000000004,car,0.10880518704652786,0.14609438180923462,0.8983606696128845,548.0,3203.0
0.20000000000000004,person,0.8530635833740234,0.802122175693512,0.9013857841491699,2797.0,690.0
0.20000000000000004,rider,0.7203322052955627,0.7858220338821411,0.7474892139434814,521.0,142.0
0.20000000000000004,average,0.5607336163520813,0.5780128836631775,0.8490785956382751
0.25000000000000006,car,0.10880518704652786,0.14609438180923462,0.8983606696128845,548.0,3203.0
0.25000000000000006,person,0.8527990579605103,0.8018354177474976,0.9010635018348694,2796.0,691.0
0.25000000000000006,rider,0.7187662124633789,0.7843137383460999,0.7460545301437378,520.0,143.0
0.25000000000000006,average,0.5601235032081604,0.5774145126342773,0.8484929203987122
0.30000000000000004,car,0.10737859457731247,0.1450279951095581,0.8918032646179199,544.0,3207.0
0.30000000000000004,person,0.8527990579605103,0.8018354177474976,0.9010635018348694,2796.0,691.0
0.30000000000000004,rider,0.7162178158760071,0.7812971472740173,0.7431851029396057,518.0,145.0
0.30000000000000004,average,0.5587984919548035,0.5760535597801208,0.8453505635261536
0.3500000000000001,car,0.10390681028366089,0.14236204326152802,0.8754098415374756,534.0,3217.0
0.3500000000000001,person,0.8510721921920776,0.801261842250824,0.9004189372062683,2794.0,693.0
0.3500000000000001,rider,0.7135136723518372,0.7782805562019348,0.7403156161308289,516.0,147.0
0.3500000000000001,average,0.5561642050743103,0.5739681720733643,0.8387148380279541
0.40000000000000013,car,0.09990062564611435,0.13969607651233673,0.8590164184570312,524.0,3227.0
0.40000000000000013,person,0.8488831520080566,0.7992543578147888,0.8981630802154541,2787.0,700.0
0.40000000000000013,rider,0.7071982622146606,0.7707390785217285,0.7331420183181763,511.0,152.0
0.40000000000000013,average,0.5519940257072449,0.5698965191841125,0.8301072120666504
0.45000000000000007,car,0.09162333607673645,0.1338309794664383,0.8229508399963379,502.0,3249.0
0.45000000000000007,person,0.8469945788383484,0.7975336909294128,0.8962294459342957,2781.0,706.0
0.45000000000000007,rider,0.7071982622146606,0.7707390785217285,0.7331420183181763,511.0,152.0
0.45000000000000007,average,0.5486053824424744,0.5673679113388062,0.8174408078193665
0.5000000000000001,car,0.08638831973075867,0.12956544756889343,0.796721339225769,486.0,3265.0
0.5000000000000001,person,0.8414232134819031,0.7929452061653137,0.8910731673240662,2765.0,722.0
0.5000000000000001,rider,0.7060298323631287,0.7692307829856873,0.7317073345184326,510.0,153.0
0.5000000000000001,average,0.544613778591156,0.5639138221740723,0.8065006136894226
0.5500000000000002,car,0.08192402124404907,0.12583310902118683,0.7737705111503601,472.0,3279.0
0.5500000000000002,person,0.8349149227142334,0.7872096300125122,0.8846277594566345,2745.0,742.0
0.5500000000000002,rider,0.6920685172080994,0.7541478276252747,0.7173601388931274,500.0,163.0
0.5500000000000002,average,0.5363025069236755,0.5557301640510559,0.791919469833374
0.6000000000000002,car,0.07510163635015488,0.12023460119962692,0.7393442392349243,451.0,3300.0
0.6000000000000002,person,0.8244614005088806,0.7794665694236755,0.8759264945983887,2718.0,769.0
0.6000000000000002,rider,0.6898672580718994,0.7511312365531921,0.7144906520843506,498.0,165.0
0.6000000000000002,average,0.5298101305961609,0.5502774715423584,0.776587188243866
0.6500000000000001,car,0.06991823762655258,0.11570248007774353,0.7114754319190979,434.0,3317.0
0.6500000000000001,person,0.805205225944519,0.7634069323539734,0.8578794598579407,2662.0,825.0
0.6500000000000001,rider,0.6884499192237854,0.7496229410171509,0.7130559682846069,497.0,166.0
0.6500000000000001,average,0.5211911201477051,0.5429107546806335,0.7608036398887634
0.7000000000000002,car,0.06325075030326843,0.10930418223142624,0.6721311211585999,410.0,3341.0
0.7000000000000002,person,0.7631553411483765,0.7350157499313354,0.8259748816490173,2563.0,924.0
0.7000000000000002,rider,0.6815593838691711,0.7420814633369446,0.7058823704719543,492.0,171.0
0.7000000000000002,average,0.5026552081108093,0.5288004875183105,0.7346627712249756
0.7500000000000002,car,0.055035337805747986,0.09997334331274033,0.6147540807723999,375.0,3376.0
0.7500000000000002,person,0.6905302405357361,0.6865500211715698,0.771511435508728,2394.0,1093.0
0.7500000000000002,rider,0.6699392199516296,0.7315233945846558,0.6958392858505249,485.0,178.0
0.7500000000000002,average,0.4718349277973175,0.5060155987739563,0.6940348744392395
0.8000000000000002,car,0.04733336344361305,0.09010930359363556,0.55409836769104,338.0,3413.0
0.8000000000000002,person,0.5951281785964966,0.615715503692627,0.6919110417366028,2147.0,1340.0
0.8000000000000002,rider,0.6494283080101013,0.7104072570800781,0.6757532358169556,471.0,192.0
0.8000000000000002,average,0.4306299686431885,0.4720773696899414,0.6405875086784363
0.8500000000000002,car,0.034667007625103,0.07731271535158157,0.4754098355770111,290.0,3461.0
0.8500000000000002,person,0.420388400554657,0.49784916639328003,0.5594586133956909,1736.0,1751.0
