,xmin,ymin,xmax,ymax,confidence,class,name,frame,time
0,979.2,677.396449704142,1049.6000000000001,798.8165680473372,90.52066802978516,2,rider,0,21.589248657226562
1,1190.4,696.5680473372781,1254.4,817.9881656804733,94.27595520019531,2,rider,0,9.095968246459961
2,2668.8,760.4733727810651,3072.0,1124.7337278106509,74.11991119384766,1,person,0,8.172608375549316
3,979.2,677.396449704142,1062.4,824.3786982248521,98.35355377197266,2,rider,1,8.078207969665527
4,2668.8,766.8639053254437,3136.0,1124.7337278106509,77.00501251220703,1,person,1,8.137375831604004
5,979.2,677.396449704142,1056.0,811.5976331360946,97.37378692626953,2,rider,2,7.107583999633789
6,2668.8,690.1775147928994,3155.2000000000003,1131.1242603550295,40.89973449707031,0,car,2,7.517792224884033
7,985.6,671.0059171597633,1145.6000000000001,843.5502958579881,63.424949645996094,2,rider,3,6.940127849578857
8,2777.6000000000004,690.1775147928994,3155.2000000000003,1124.7337278106509,57.3990478515625,1,person,3,8.590144157409668
9,992.0,683.7869822485206,1088.0,849.9408284023668,89.49638366699219,2,rider,4,7.8045759201049805
10,2803.2000000000003,702.9585798816568,3155.2000000000003,1137.5147928994083,51.53256607055664,2,rider,4,7.7674560546875
11,998.4000000000001,683.7869822485206,1056.0,805.207100591716,76.39666748046875,2,rider,5,7.211455821990967
12,2835.2000000000003,773.2544378698225,3136.0,1143.905325443787,78.24424743652344,1,person,5,6.9456000328063965
13,992.0,677.396449704142,1094.4,849.9408284023668,58.000553131103516,2,rider,6,7.354464054107666
14,1196.8,671.0059171597633,1260.8000000000002,798.8165680473372,79.01801300048828,0,car,6,6.804255962371826
15,2848.0,779.6449704142011,3072.0,1150.2958579881656,97.41507720947266,1,person,6,7.427584171295166
16,1004.8000000000001,664.6153846153846,1260.8000000000002,817.9881656804733,65.16999053955078,2,rider,7,6.755328178405762
17,2841.6000000000004,702.9585798816568,3136.0,1156.6863905325442,48.993019104003906,1,person,7,6.868703842163086
18,992.0,690.1775147928994,1088.0,824.3786982248521,53.83648681640625,2,rider,8,6.518815994262695
19,1190.4,671.0059171597633,1273.6000000000001,779.6449704142011,92.2491683959961,0,car,8,7.080575942993164
20,2848.0,779.6449704142011,3059.2000000000003,1150.2958579881656,98.00398254394531,1,person,8,8.096768379211426
21,1011.2,683.7869822485206,1113.6000000000001,856.3313609467456,89.3416748046875,2,rider,9,11.981056213378906
22,1184.0,671.0059171597633,1260.8000000000002,773.2544378698225,96.6415786743164,0,car,9,11.910143852233887
23,2841.6000000000004,702.9585798816568,3136.0,1156.6863905325442,57.488121032714844,1,person,9,11.836928367614746
24,614.4000000000001,658.2248520710059,684.8000000000001,722.1301775147929,81.12712860107422,1,person,10,12.393600463867188
25,1004.8000000000001,658.2248520710059,1273.6000000000001,837.1597633136095,91.40360260009766,2,rider,10,12.341216087341309
26,2822.4,619.8816568047337,3257.6000000000004,1169.4674556213017,55.24434280395508,2,rider,10,12.35654354095459
27,1011.2,658.2248520710059,1273.6000000000001,856.3313609467456,79.63528442382812,2,rider,11,7.360159873962402
28,2816.0,779.6449704142011,3136.0,1175.8579881656804,92.90744018554688,1,person,11,7.339263916015625
29,608.0,664.6153846153846,652.8000000000001,709.3491124260355,72.04141235351562,2,rider,12,7.432415962219238
30,1030.4,658.2248520710059,1267.2,843.5502958579881,88.81645202636719,2,rider,12,7.446976184844971
31,2822.4,786.0355029585799,3065.6000000000004,1169.4674556213017,94.54295349121094,1,person,12,7.391647815704346
32,1036.8,658.2248520710059,1273.6000000000001,843.5502958579881,83.92777252197266,2,rider,13,6.600160121917725
33,2822.4,651.8343195266272,3238.4,1175.8579881656804,51.69080352783203,2,rider,13,7.46995210647583
34,544.0,658.2248520710059,691.2,754.0828402366864,76.03612518310547,2,rider,14,7.049983978271484
35,1043.2,658.2248520710059,1273.6000000000001,843.5502958579881,87.62096405029297,2,rider,14,6.742208003997803
36,2841.6000000000004,766.8639053254437,3065.6000000000004,1137.5147928994083,83.64461517333984,1,person,14,7.331679821014404
37,659.2,658.2248520710059,691.2,754.0828402366864,92.20870208740234,1,person,15,6.965983867645264
38,1049.6000000000001,658.2248520710059,1260.8000000000002,875.5029585798816,93.1209716796875,2,rider,15,7.717535972595215
39,2854.4,702.9585798816568,3168.0,1137.5147928994083,50.04533004760742,2,rider,15,7.689727783203125
40,646.4000000000001,581.5384615384615,704.0,741.301775147929,84.9265365600586,2,rider,16,7.290175914764404
41,1062.4,658.2248520710059,1260.8000000000002,856.3313609467456,90.58543395996094,2,rider,16,7.853280067443848
42,2867.2000000000003,766.8639053254437,3084.8,1143.905325443787,81.83757019042969,1,person,16,7.4852800369262695
43,3110.4,658.2248520710059,3232.0,728.5207100591716,92.35104370117188,2,rider,16,7.918848037719727
44,665.6,677.396449704142,691.2,722.1301775147929,83.0845947265625,1,person,17,7.409503936767578
45,1068.8,664.6153846153846,1235.2,875.5029585798816,92.2198715209961,2,rider,17,7.701600074768066
46,2899.2000000000003,709.3491124260355,3136.0,1156.6863905325442,73.77758026123047,1,person,17,7.150207996368408
47,672.0,677.396449704142,691.2,728.5207100591716,85.5763168334961,1,person,18,7.4688639640808105
48,1068.8,658.2248520710059,1248.0,881.8934911242603,85.21914672851562,2,rider,18,7.483007907867432
49,2924.8,715.7396449704141,3104.0,1169.4674556213017,68.2461166381836,1,person,18,7.533728122711182
50,659.2,677.396449704142,691.2,754.0828402366864,70.36846160888672,1,person,19,12.574943542480469
51,1068.8,658.2248520710059,1228.8000000000002,894.6745562130177,97.90293884277344,2,rider,19,12.548768043518066
