frame,class,iou,x1,y1,x2,y2
0.0,2.0,0.1250534951686859,979.2,677.4,1049.6,798.82
0.0,2.0,0,1190.4,696.57,1254.4,817.99
0.0,1.0,0.23711252212524414,2668.8,760.47,3072.0,1124.73
1.0,2.0,0.19356092810630798,979.2,677.4,1062.4,824.38
1.0,1.0,0.19438998401165009,2668.8,766.86,3136.0,1124.73
2.0,2.0,0.10803353041410446,979.2,677.4,1056.0,811.6
2.0,0.0,0.15027984976768494,2668.8,690.18,3155.2,1131.12
3.0,2.0,0.3355552852153778,985.6,671.01,1145.6,843.55
3.0,1.0,0.1782042384147644,2777.6,690.18,3155.2,1124.73
4.0,2.0,0.2678678035736084,992.0,683.79,1088.0,849.94
4.0,2.0,0.19872887432575226,2803.2,702.96,3155.2,1137.51
5.0,2.0,0.02728252112865448,998.4,683.79,1056.0,805.21
5.0,1.0,0.32753288745880127,2835.2,773.25,3136.0,1143.91
6.0,2.0,0.2013721764087677,992.0,677.4,1094.4,849.94
6.0,0.0,0.12439828366041183,1196.8,671.01,1260.8,798.82
6.0,1.0,0.46414250135421753,2848.0,779.64,3072.0,1150.3
7.0,2.0,0.19157977402210236,1004.8,664.62,1260.8,817.99
7.0,1.0,0.34135350584983826,2841.6,702.96,3136.0,1156.69
8.0,2.0,0.10013764351606369,992.0,690.18,1088.0,824.38
8.0,0.0,0.171515554189682,1190.4,671.01,1273.6,779.64
8.0,1.0,0.592976987361908,2848.0,779.64,3059.2,1150.3
9.0,2.0,0.22700919210910797,1011.2,683.79,1113.6,856.33
9.0,0.0,0.11704092472791672,1184.0,671.01,1260.8,773.25
9.0,1.0,0.3815094232559204,2841.6,702.96,3136.0,1156.69
10.0,1.0,0.06145107373595238,614.4,658.22,684.8,722.13
10.0,2.0,0.18478892743587494,1004.8,658.22,1273.6,837.16
10.0,2.0,0.22583048045635223,2822.4,619.88,3257.6,1169.47
11.0,2.0,0.20294423401355743,1011.2,658.22,1273.6,856.33
11.0,1.0,0.43030107021331787,2816.0,779.64,3136.0,1175.86
12.0,2.0,0,608.0,664.62,652.8,709.35
12.0,2.0,0.2208019345998764,1030.4,658.22,1267.2,843.55
12.0,1.0,0.5447046160697937,2822.4,786.04,3065.6,1169.47
13.0,2.0,0.21667733788490295,1036.8,658.22,1273.6,843.55
13.0,2.0,0.24553054571151733,2822.4,651.83,3238.4,1175.86
14.0,2.0,0.04200968146324158,544.0,658.22,691.2,754.08
14.0,2.0,0.22391188144683838,1043.2,658.22,1273.6,843.55
14.0,1.0,0.41370806097984314,2841.6,766.86,3065.6,1137.51
15.0,1.0,0.06990745663642883,659.2,658.22,691.2,754.08
15.0,2.0,0.27815982699394226,1049.6,658.22,1260.8,875.5
15.0,2.0,0.29578346014022827,2854.4,702.96,3168.0,1137.51
16.0,2.0,0.060450226068496704,646.4,581.54,704.0,741.3
16.0,2.0,0.267304390668869,1062.4,658.22,1260.8,856.33
16.0,1.0,0.3503555357456207,2867.2,766.86,3084.8,1143.91
16.0,2.0,0,3110.4,658.22,3232.0,728.52
17.0,1.0,0.02038118615746498,665.6,677.4,691.2,722.13
17.0,2.0,0.35934752225875854,1068.8,664.62,1235.2,875.5
17.0,1.0,0.35356926918029785,2899.2,709.35,3136.0,1156.69
18.0,1.0,0.008447598665952682,672.0,677.4,691.2,728.52
18.0,2.0,0.3376177251338959,1068.8,658.22,1248.0,881.89
18.0,1.0,0.34153637290000916,2924.8,715.74,3104.0,1169.47
19.0,1.0,0,659.2,677.4,691.2,754.08
19.0,2.0,0.3941756784915924,1068.8,658.22,1228.8,894.67
19.0,2.0,0.28066912293434143,2944.0,683.79,3212.8,1175.86
20.0,2.0,0.0014185000909492373,646.4,581.54,704.0,715.74
20.0,2.0,0.3536098301410675,1081.6,664.62,1222.4,881.89
20.0,1.0,0.413352906703949,2950.4,715.74,3136.0,1175.86
21.0,1.0,0,665.6,671.01,697.6,728.52
21.0,2.0,0.31698325276374817,1081.6,658.22,1222.4,888.28
21.0,1.0,0.3142335116863251,2950.4,715.74,3206.4,1182.25
22.0,1.0,0,678.4,671.01,710.4,792.43
22.0,2.0,0.25387465953826904,1094.4,664.62,1209.6,894.67
22.0,1.0,0.32589638233184814,2950.4,728.52,3123.2,1175.86
23.0,1.0,0.10427600890398026,672.0,671.01,729.6,792.43
23.0,2.0,0.3195289075374603,1100.8,664.62,1299.2,901.07
23.0,1.0,0.391111820936203,2944.0,811.6,3142.4,1182.25
24.0,1.0,0.1463455706834793,665.6,671.01,742.4,792.43
24.0,2.0,0.23936589062213898,1107.2,664.62,1222.4,901.07
24.0,1.0,0.4217090904712677,2944.0,798.82,3168.0,1188.64
25.0,1.0,0.2288896143436432,697.6,664.62,755.2,792.43
25.0,2.0,0.2763710618019104,1107.2,664.62,1241.6,901.07
25.0,1.0,0.32587096095085144,2931.2,722.13,3168.0,1188.64
26.0,1.0,0.1197497770190239,646.4,581.54,761.6,792.43
26.0,2.0,0.28825679421424866,1126.4,671.01,1241.6,894.67
26.0,1.0,0.35807326436042786,2931.2,728.52,3193.6,1195.03
27.0,1.0,0.06808582693338394,684.8,664.62,761.6,715.74
27.0,2.0,0.3456133008003235,1120.0,671.01,1248.0,907.46
27.0,1.0,0.4906117022037506,2931.2,817.99,3238.4,1201.42
28.0,2.0,0,684.8,658.22,736.0,696.57
28.0,2.0,0.39500659704208374,1120.0,677.4,1254.4,907.46
28.0,1.0,0.3521821200847626,2924.8,734.91,3200.0,1201.42
29.0,1.0,0.12277189642190933,710.4,671.01,761.6,786.04
29.0,2.0,0.37252169847488403,1100.8,671.01,1267.2,907.46
29.0,1.0,0.35112231969833374,2918.4,728.52,3200.0,1201.42
30.0,1.0,0.06194428354501724,697.6,664.62,761.6,741.3
30.0,2.0,0.3368107080459595,1088.0,671.01,1267.2,913.85
30.0,1.0,0.39769458770751953,2918.4,734.91,3238.4,1182.25
31.0,1.0,0.057134322822093964,723.2,658.22,761.6,734.91
31.0,2.0,0.28332197666168213,1088.0,677.4,1292.8,920.24
31.0,1.0,0.38060295581817627,2912.0,728.52,3251.2,1169.47
32.0,2.0,0.001685979077592492,716.8,664.62,748.8,696.57
32.0,2.0,0.26496297121047974,1088.0,671.01,1292.8,920.24
32.0,1.0,0.37358570098876953,2912.0,734.91,3257.6,1175.86
33.0,2.0,0.0045114001259207726,716.8,664.62,755.2,696.57
33.0,2.0,0.2365085631608963,1088.0,671.01,1299.2,926.63
33.0,0.0,0.3428400158882141,2905.6,728.52,3276.8,1175.86
34.0,1.0,0.0026735980063676834,729.6,651.83,761.6,696.57
34.0,2.0,0.22950884699821472,1088.0,671.01,1305.6,926.63
34.0,0.0,0.33229532837867737,2899.2,722.13,3276.8,1175.86
35.0,2.0,0,729.6,651.83,761.6,696.57
35.0,2.0,0.19643469154834747,1088.0,671.01,1318.4,933.02
35.0,0.0,0.3162163197994232,2899.2,728.52,3296.0,1182.25
36.0,1.0,0,742.4,658.22,761.6,779.64
36.0,2.0,0.17701320350170135,1081.6,671.01,1331.2,926.63
36.0,0.0,0.32096582651138306,2899.2,722.13,3302.4,1175.86
37.0,2.0,0.1687832921743393,1088.0,664.62,1337.6,933.02
37.0,1.0,0.24581369757652283,2892.8,830.77,3308.8,1195.03
38.0,2.0,0.17644274234771729,1081.6,671.01,1344.0,933.02
38.0,1.0,0.3090772032737732,2892.8,734.91,3308.8,1201.42
39.0,1.0,0,748.8,658.22,780.8,773.25
39.0,2.0,0.18492768704891205,1081.6,677.4,1356.8,939.41
39.0,1.0,0.262022465467453,2886.4,830.77,3328.0,1207.81
40.0,0.0,0.1739397495985031,1075.2,671.01,1152.0,837.16
40.0,2.0,0.28692060708999634,1228.8,734.91,1350.4,939.41
40.0,1.0,0.28215616941452026,2886.4,734.91,3334.4,1214.2
41.0,0.0,0.21878308057785034,1075.2,671.01,1152.0,837.16
41.0,2.0,0.33681681752204895,1235.2,741.3,1369.6,939.41
41.0,0.0,0.474313348531723,2886.4,747.69,3084.8,958.58
41.0,1.0,0.6497187614440918,3180.8,901.07,3347.2,1207.81
42.0,0.0,0.2241002917289734,1068.8,671.01,1152.0,837.16
42.0,2.0,0.3525908589363098,1241.6,741.3,1382.4,945.8
42.0,0.0,0.4756869077682495,2886.4,741.3,3091.2,958.58
42.0,1.0,0.6975753307342529,3180.8,901.07,3379.2,1214.2
43.0,0.0,0.2328009009361267,1068.8,677.4,1152.0,843.55
43.0,2.0,0.3168444037437439,1248.0,741.3,1382.4,958.58
43.0,0.0,0.4768957793712616,2880.0,741.3,3091.2,958.58
43.0,1.0,0.7041621804237366,3168.0,901.07,3379.2,1220.59
44.0,2.0,0,755.2,645.44,793.6,683.79
44.0,0.0,0.2676679790019989,1062.4,664.62,1158.4,843.55
44.0,2.0,0.34670424461364746,1260.8,741.3,1395.2,958.58
44.0,0.0,0.581203281879425,2880.0,728.52,3136.0,958.58
44.0,1.0,0.650515079498291,3142.4,907.46,3385.6,1220.59
45.0,0.0,0.2629368305206299,1062.4,677.4,1152.0,843.55
45.0,2.0,0.43509262800216675,1260.8,747.69,1497.6,996.92
45.0,0.0,0.510516881942749,2873.6,741.3,3091.2,964.97
45.0,1.0,0.6398335099220276,3136.0,907.46,3398.4,1226.98
46.0,1.0,0.03930105268955231,774.4,639.05,819.2,728.52
46.0,0.0,0.29967349767684937,1062.4,683.79,1158.4,830.77
46.0,2.0,0.4422995150089264,1273.6,741.3,1497.6,996.92
